channel,pair,transform,auc,overlap,fisher_dprime,dprime_with_aug_noise,median_sep,width80_a,width80_b
u,muon-vs-pion,log(current),0.5899872896094237,0.8340056322156539,0.11273702788811857,0.11186655115137298,0.04130896352612612,0.350169074407773,0.41797718947501106
u,muon-vs-pion,linear1000,0.5899872896094237,0.8340056322156539,0.2884252001929825,0.2674553326342268,0.018060320690275522,0.13493041585034748,0.21590546430828006
u,muon-vs-pion,sqrt,0.5899872896094237,0.8340056322156539,0.2946017180424758,0.28672614431915483,0.04631798361796979,0.35437971313886873,0.4821153228256263
u,muon-vs-pion,asinh25,0.5899872896094237,0.8340056322156539,0.31326304238722363,0.302586132573452,0.053771776180257747,0.39313711956296016,0.5003711336473555
u,muon-vs-pion,quantile,0.5899872896094237,0.8340056322156539,0.3082945133711036,0.3071454728693315,0.30453047769475416,1.561324843567442,1.6915749000618936
u,muon-vs-proton,log(current),0.671031617277126,0.6715049400002824,0.21330437991039702,0.21175699493049244,0.09948813860546757,0.350169074407773,0.4850638595737684
u,muon-vs-proton,linear1000,0.671031617277126,0.6715049400002824,0.5396648452176787,0.5138484065370065,0.052008305768176055,0.13493041585034748,0.3246684404211192
u,muon-vs-proton,sqrt,0.671031617277126,0.6715049400002824,0.5683709596318295,0.5565681870857423,0.12163451074773257,0.35437971313886873,0.6258839903802218
u,muon-vs-proton,asinh25,0.671031617277126,0.6715049400002824,0.6046491768299515,0.5874620113452932,0.13502628256933336,0.39313711956296016,0.6019501469512182
u,muon-vs-proton,quantile,0.671031617277126,0.6715049400002824,0.5747068489012206,0.572681758560318,0.6296292160659016,1.561324843567442,1.7497165264387073
u,pion-vs-proton,log(current),0.5907692641470573,0.8203324913010569,0.10227831877098097,0.101561390977628,0.05817917507934145,0.41797718947501106,0.4850638595737684
u,pion-vs-proton,linear1000,0.5907692641470573,0.8203324913010569,0.2773448950482029,0.26659622724421433,0.03394798507790053,0.21590546430828006,0.3246684404211192
u,pion-vs-proton,sqrt,0.5907692641470573,0.8203324913010569,0.2844904581830831,0.2794878760355861,0.07531652712976278,0.4821153228256263,0.6258839903802218
u,pion-vs-proton,asinh25,0.5907692641470573,0.8203324913010569,0.2969849193181752,0.2896631183603889,0.08125450638907561,0.5003711336473555,0.6019501469512182
u,pion-vs-proton,quantile,0.5907692641470573,0.8203324913010569,0.26403144004762946,0.2631733845021885,0.32509873837114744,1.6915749000618936,1.7497165264387073
u,electron-vs-gamma,log(current),0.5530023935886056,0.9084531104999829,0.09138929296932415,0.09074426573378855,0.028812650381436766,0.49131238217395534,0.4364639844955127
u,electron-vs-gamma,linear1000,0.5530023935886056,0.9084531104999829,0.23365424900255796,0.22510618517724146,0.01517883293875133,0.3454493922188837,0.23463058175606188
u,electron-vs-gamma,sqrt,0.5530023935886056,0.9084531104999829,0.21676538463417921,0.21315237452377644,0.0354729209043394,0.6486388632703716,0.5112112161578851
u,electron-vs-gamma,asinh25,0.5530023935886056,0.9084531104999829,0.20581125360960448,0.2009762926480507,0.03943961893449899,0.6154473239055606,0.5233152574217328
u,electron-vs-gamma,quantile,0.5530023935886056,0.9084531104999829,0.15330269917749398,0.15282030041102213,0.186906084634904,1.7463301801796896,1.7178028131302698
v,muon-vs-pion,log(current),0.5998251941876814,0.8292578248036716,0.18788426839307137,0.1837500524339819,0.04290968609935231,0.3057260582289658,0.35755274756632405
